PROVINCIA,DIA,HORA,FERIADO,CAUSA_PROBABLE,CLASE_FINAL,ZONA,TIPO_DE_VEHICULO_1,SERVICIO_1,EDAD_1,SEXO_1,CONDICION_1,PARTICIPANTE_1
GUAYAS,DOMINGO,P06,NO,CP22,CHOQUE LATERAL,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,DOMINGO,P08,NO,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,31.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,DOMINGO,P15,NO,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,26.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,DOMINGO,P17,NO,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,DOMINGO,P18,NO,CP06,CHOQUE FRONTAL,URBANA,AUTOMOVIL,PARTICULAR,38.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,DOMINGO,P18,NO,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,45.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,DOMINGO,P18,NO,CP09,ATROPELLOS,URBANA,AUTOMOVIL,COMERCIAL,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,DOMINGO,P21,NO,CP06,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,53.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,DOMINGO,P21,NO,CP09,CHOQUE POSTERIOR,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,DOMINGO,P20,NO,CP09,CHOQUE POSTERIOR,URBANA,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,DOMINGO,P04,NO,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
MORONA SANTIAGO,DOMINGO,P20,NO,CP17,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,66.0,HOMBRE,FALLECIDO,CONDUCTOR
TUNGURAHUA,DOMINGO,P18,NO,CP13,CHOQUE POSTERIOR,RURAL,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
PICHINCHA,DOMINGO,P13,NO,CP13,CHOQUE LATERAL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,MUJER,ILESO,PASAJERO
MANABI,DOMINGO,P17,NO,CP13,CHOQUE LATERAL,RURAL,MOTOCICLETA,PARTICULAR,46.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,DOMINGO,P21,NO,CP09,ESTRELLAMIENTOS,URBANA,CAMIONETA,PARTICULAR,40.0,HOMBRE,ILESO,PASAJERO
AZUAY,DOMINGO,P02,NO,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,DOMINGO,P04,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,COMERCIAL,25.0,HOMBRE,ILESO,CONDUCTOR
AZUAY,DOMINGO,P21,NO,CP13,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,DOMINGO,P15,NO,CP13,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,DOMINGO,P00,NO,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,COMERCIAL,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,DOMINGO,P14,NO,CP25,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,23.0,HOMBRE,LESIONADO,PEATON
AZUAY,DOMINGO,P21,NO,CP11,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,29.0,MUJER,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,DOMINGO,P07,NO,CP25,ATROPELLOS,URBANA,CAMIONETA,PARTICULAR,80.0,MUJER,LESIONADO,PEATON
LOJA,DOMINGO,P16,NO,CP12,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,54.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P10,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,31.0,MUJER,ILESO,CONDUCTOR
LOJA,DOMINGO,P21,NO,CP06,CHOQUE FRONTAL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,LESIONADO,PASAJERO
LOJA,DOMINGO,P19,NO,CP06,ATROPELLOS,URBANA,CAMIONETA,PARTICULAR,37.0,MUJER,LESIONADO,CONDUCTOR
PICHINCHA,DOMINGO,P04,NO,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,DOMINGO,P00,NO,CP06,CHOQUE POSTERIOR,RURAL,AUTOMOVIL,PARTICULAR,25.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P02,NO,CP12,ROZAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,62.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P06,NO,CP06,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,26.0,HOMBRE,FALLECIDO,PASAJERO
PICHINCHA,DOMINGO,P03,NO,CP01,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,56.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P19,NO,CP09,CHOQUE LATERAL,URBANA,CAMIONETA,PARTICULAR,34.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P01,NO,CP06,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,31.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,DOMINGO,P00,NO,CP01,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,20.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,DOMINGO,P21,NO,CP10,ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,60.0,MUJER,LESIONADO,PEATON
PICHINCHA,DOMINGO,P04,NO,CP22,ESTRELLAMIENTOS,URBANA,CAMIONETA,PARTICULAR,18.0,HOMBRE,LESIONADO,PASAJERO
PICHINCHA,DOMINGO,P15,NO,CP22,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,58.0,HOMBRE,LESIONADO,PEATON
PICHINCHA,DOMINGO,P22,NO,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,23.0,HOMBRE,LESIONADO,PASAJERO
MANABI,DOMINGO,P18,NO,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,30.0,HOMBRE,ILESO,CONDUCTOR
MANABI,DOMINGO,P22,NO,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,30.0,HOMBRE,ILESO,CONDUCTOR
MANABI,DOMINGO,P04,NO,CP13,CHOQUE LATERAL,URBANA,AUTOMOVIL,COMERCIAL,43.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,DOMINGO,P03,NO,CP18,ESTRELLAMIENTOS,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,39.0,HOMBRE,LESIONADO,PASAJERO
TUNGURAHUA,DOMINGO,P16,NO,CP13,CHOQUE LATERAL,URBANA,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,LUNES,P15,NO,CP17,CHOQUE FRONTAL,RURAL,BUS,PUBLICO,-1.0,NO IDENTIFICADO,LESIONADO,CONDUCTOR
EL ORO,LUNES,P06,NO,CP13,ESTRELLAMIENTOS,RURAL,CAMIONETA,COMERCIAL,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,LUNES,P07,NO,CP13,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,LUNES,P11,NO,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,LUNES,P12,NO,CP12,ROZAMIENTOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,LUNES,P11,NO,CP11,COLISION,URBANA,CAMION,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,LUNES,P02,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,79.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,LUNES,P06,NO,CP22,CHOQUE LATERAL,URBANA,FURGONETA,COMERCIAL,8.0,MUJER,LESIONADO,PASAJERO
SANTA ELENA,LUNES,P18,NO,CP11,COLISION,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
AZUAY,LUNES,P15,NO,CP11,CHOQUE POSTERIOR,RURAL,CAMIONETA,PARTICULAR,46.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P18,NO,CP16,CAIDA DE PASAJERO,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,LUNES,P17,NO,CP13,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,LUNES,P14,NO,CP22,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,LUNES,P19,NO,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,LUNES,P17,NO,CP13,PERDIDA DE CARRIL,RURAL,CAMION,PARTICULAR,26.0,HOMBRE,ILESO,CONDUCTOR
SANTA ELENA,LUNES,P18,NO,CP22,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,26.0,HOMBRE,LESIONADO,CONDUCTOR
SANTA ELENA,LUNES,P18,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,CONDUCTOR
PICHINCHA,LUNES,P10,NO,CP11,CHOQUE POSTERIOR,RURAL,CAMION,COMERCIAL,-1.0,NO IDENTIFICADO,FALLECIDO,CONDUCTOR
GUAYAS,LUNES,P06,NO,CP06,CHOQUE FRONTAL,URBANA,MOTOCICLETA,PARTICULAR,25.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P09,NO,CP09,CHOQUE POSTERIOR,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P10,NO,CP09,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,COMERCIAL,30.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,LUNES,P11,NO,CP09,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,33.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,LUNES,P13,NO,CP06,CHOQUE FRONTAL,URBANA,MOTOCICLETA,COMERCIAL,37.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P12,NO,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,27.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P09,NO,CP09,ATROPELLOS,URBANA,CAMIONETA,PARTICULAR,71.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P14,NO,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,61.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P15,NO,CP22,CHOQUE LATERAL,URBANA,CAMION,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,LUNES,P18,NO,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,LUNES,P21,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,50.0,MUJER,LESIONADO,CONDUCTOR
TUNGURAHUA,LUNES,P00,NO,CP06,ESTRELLAMIENTOS,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,42.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,LUNES,P13,NO,CP09,CHOQUE LATERAL,URBANA,BUS,PUBLICO,46.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,LUNES,P14,NO,CP09,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,HOMBRE,FALLECIDO,PEATON
CARCHI,LUNES,P19,NO,CP13,CHOQUE LATERAL,URBANA,AUTOMOVIL,COMERCIAL,51.0,HOMBRE,ILESO,CONDUCTOR
LOJA,LUNES,P11,NO,CP13,CHOQUE FRONTAL,RURAL,CAMION,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
CHIMBORAZO,LUNES,P14,NO,CP13,CHOQUE LATERAL,URBANA,CAMIONETA,ESTADO,24.0,HOMBRE,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,LUNES,P08,NO,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,LUNES,P20,NO,CP02,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,43.0,HOMBRE,LESIONADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,LUNES,P13,NO,CP25,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,29.0,MUJER,LESIONADO,PEATON
LOJA,LUNES,P06,NO,CP11,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,59.0,HOMBRE,ILESO,CONDUCTOR
AZUAY,LUNES,P04,NO,CP06,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,PASAJERO
PICHINCHA,LUNES,P08,NO,CP09,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,25.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,LUNES,P11,NO,CP22,ESTRELLAMIENTOS,URBANA,BUS,COMERCIAL,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,LUNES,P17,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,37.0,HOMBRE,LESIONADO,CONDUCTOR
PICHINCHA,LUNES,P06,NO,CP11,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,31.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,LUNES,P14,NO,CP09,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,43.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,LUNES,P14,NO,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,LUNES,P02,NO,CP13,PERDIDA DE CARRIL,URBANA,CAMIONETA,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
MANABI,LUNES,P14,NO,CP13,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,29.0,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,LUNES,P06,NO,CP24,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,36.0,HOMBRE,LESIONADO,CONDUCTOR
MANABI,LUNES,P08,NO,CP25,ATROPELLOS,URBANA,CAMION,PARTICULAR,73.0,MUJER,LESIONADO,PEATON
EL ORO,MARTES,P05,NO,CP13,PERDIDA DE CARRIL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MARTES,P04,NO,CP13,PERDIDA DE CARRIL,RURAL,CAMIONETA,ESTADO,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MARTES,P09,NO,CP22,CHOQUE LATERAL,RURAL,MOTOCICLETA,PARTICULAR,29.0,HOMBRE,LESIONADO,CONDUCTOR
MANABI,MARTES,P08,NO,CP22,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,60.0,HOMBRE,LESIONADO,CONDUCTOR
LOS RIOS,MARTES,P10,NO,CP11,CHOQUE POSTERIOR,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,73.0,HOMBRE,ILESO,CONDUCTOR
MANABI,MARTES,P11,NO,CP13,PERDIDA DE CARRIL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
EL ORO,MARTES,P07,NO,CP13,ESTRELLAMIENTOS,RURAL,BUS,PUBLICO,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,MARTES,P18,NO,CP12,ROZAMIENTOS,URBANA,CAMIONETA,PARTICULAR,43.0,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,MARTES,P17,NO,CP17,CHOQUE FRONTAL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MARTES,P13,NO,CP22,CHOQUE LATERAL,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,CONDUCTOR
GUAYAS,MARTES,P20,NO,CP13,PERDIDA DE CARRIL,URBANA,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MARTES,P22,NO,CP22,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,48.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MARTES,P11,NO,CP11,CHOQUE POSTERIOR,URBANA,CAMIONETA,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,MARTES,P21,NO,CP17,CHOQUE FRONTAL,RURAL,CAMION,COMERCIAL,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
EL ORO,MARTES,P16,NO,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,70.0,MUJER,LESIONADO,CONDUCTOR
SANTA ELENA,MARTES,P21,NO,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MARTES,P07,NO,CP09,CHOQUE POSTERIOR,URBANA,MOTOCICLETA,PARTICULAR,23.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MARTES,P09,NO,CP09,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,27.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MARTES,P10,NO,CP18,CHOQUE LATERAL,URBANA,BUS,PUBLICO,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MARTES,P10,NO,CP09,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,54.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MARTES,P11,NO,CP09,CHOQUE POSTERIOR,URBANA,MOTOCICLETA,PARTICULAR,-1.0,MUJER,LESIONADO,CONDUCTOR
GUAYAS,MARTES,P12,NO,CP12,ROZAMIENTOS,URBANA,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,45.0,MUJER,ILESO,CONDUCTOR
GUAYAS,MARTES,P19,NO,CP06,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,COMERCIAL,49.0,HOMBRE,ILESO,CONDUCTOR
MANABI,MARTES,P09,NO,CP13,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,24.0,HOMBRE,LESIONADO,PASAJERO
MORONA SANTIAGO,MARTES,P10,NO,CP13,CHOQUE LATERAL,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,28.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MARTES,P07,NO,CP13,CHOQUE POSTERIOR,RURAL,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
MANABI,MARTES,P05,NO,CP13,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
COTOPAXI,MARTES,P20,NO,CP13,CHOQUE FRONTAL,RURAL,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
CHIMBORAZO,MARTES,P14,NO,CP13,CHOQUE POSTERIOR,RURAL,CAMIONETA,COMERCIAL,-1.0,MUJER,ILESO,CONDUCTOR
IMBABURA,MARTES,P13,NO,CP22,CHOQUE LATERAL,URBANA,CAMIONETA,PARTICULAR,28.0,MUJER,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MARTES,P07,NO,CP02,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,34.0,MUJER,LESIONADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MARTES,P20,NO,CP02,PERDIDA DE CARRIL,URBANA,NO IDENTIFICADO,PARTICULAR,22.0,MUJER,LESIONADO,PASAJERO
AZUAY,MARTES,P21,NO,CP22,CHOQUE LATERAL,URBANA,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,48.0,HOMBRE,LESIONADO,PASAJERO
LOJA,MARTES,P00,NO,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
LOJA,MARTES,P06,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,37.0,MUJER,LESIONADO,PASAJERO
LOJA,MARTES,P21,NO,CP22,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,23.0,HOMBRE,ILESO,CONDUCTOR
LOJA,MARTES,P17,NO,CP06,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,66.0,HOMBRE,LESIONADO,CONDUCTOR
CHIMBORAZO,MARTES,P07,NO,CP13,COLISION,URBANA,BUS,PUBLICO,32.0,MUJER,ILESO,PASAJERO
PICHINCHA,MARTES,P19,NO,CP25,ATROPELLOS,RURAL,MOTOCICLETA,PARTICULAR,19.0,HOMBRE,LESIONADO,PEATON
PICHINCHA,MARTES,P14,NO,CP16,CAIDA DE PASAJERO,URBANA,BUS,PUBLICO,61.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,MARTES,P19,NO,CP06,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,17.0,HOMBRE,LESIONADO,PASAJERO
PICHINCHA,MARTES,P22,NO,CP09,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,30.0,HOMBRE,FALLECIDO,CONDUCTOR
PICHINCHA,MARTES,P08,NO,CP11,CHOQUE POSTERIOR,RURAL,CAMIONETA,PARTICULAR,39.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MARTES,P08,NO,CP09,ESTRELLAMIENTOS,RURAL,BUS,PUBLICO,24.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MARTES,P11,NO,CP09,ESTRELLAMIENTOS,URBANA,CAMION,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MARTES,P15,NO,CP06,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,18.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,MARTES,P15,NO,CP26,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,LESIONADO,PEATON
PICHINCHA,MARTES,P19,NO,CP06,COLISION,URBANA,AUTOMOVIL,PARTICULAR,33.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MARTES,P21,NO,CP12,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,76.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MARTES,P00,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,26.0,HOMBRE,LESIONADO,PASAJERO
MANABI,MIERCOLES,P01,NO,CP13,PERDIDA DE CARRIL,RURAL,CAMIONETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,NO,CP13,ESTRELLAMIENTOS,URBANA,CAMION,COMERCIAL,27.0,HOMBRE,ILESO,CONDUCTOR
SANTA ELENA,MIERCOLES,P06,NO,CP17,CHOQUE FRONTAL,URBANA,BICICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,P09,NO,CP13,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,NO,CP13,VOLCAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,30.0,HOMBRE,LESIONADO,CONDUCTOR
LOS RIOS,MIERCOLES,P06,NO,CP22,CHOQUE LATERAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P08,NO,CP11,CHOQUE POSTERIOR,RURAL,CAMION,COMERCIAL,-1.0,NO IDENTIFICADO,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,P15,NO,CP13,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,40.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MIERCOLES,P16,NO,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,35.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P16,NO,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
EL ORO,MIERCOLES,P19,NO,CP22,CHOQUE LATERAL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,MIERCOLES,P15,NO,CP22,CHOQUE LATERAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P15,NO,CP22,CHOQUE LATERAL,RURAL,MOTOCICLETA,PARTICULAR,42.0,HOMBRE,ILESO,CONDUCTOR
